Sedol,Nav,Navdate,Price Swing *
3328389,413.88,20160208,None
3273069,473.49,20160208,None
B7F1244,386.54,20160208,None
B88NK73,128.97,20160208,None
B8BH0R2,118.72,20160208,None
BBT3J65,440.04,20160208,None
3354726,499.27,20160208,None
3354737,624.58,20160208,None
B7S3QT0,139.16,20160208,None
B845051,131.41,20160208,None
B7FRND8,144.83,20160208,None
B7FRNF0,175.18,20160208,None
B83QP49,153.37,20160208,None
B7XCNP7,133.64,20160208,None
3397572,246.74,20160208,None
3397583,273.02,20160208,None
B6Q8SG1,2.0242,20160205,None
B79FF32,2.282,20160205,None
B7M54C1,1.6737,20160205,None
B7T2265,2.4073,20160205,None
B7RL0S2,2.1456,20160205,None
B240WY7,2.117286,20160205,N/A
B240WZ8,2.256166,20160205,N/A
B3CQKZ1,1.704119,20160205,N/A
B4MNRG9,1.695822,20160205,N/A
B4JQ460,1.674538,20160205,N/A
B4JQ4Y8,1.678287,20160205,N/A
B51FHZ2,1.682767,20160205,N/A
B3R27F3,2.403866,20160205,N/A
B3W6GN1,2.159575,20160205,N/A
BG49LD4,1.042656,20160205,N/A
BG49LB2,0.961044,20160205,N/A
BG49LC3,0.848216,20160205,N/A
BH65MY5,0.9069,20160208,None
BH65MZ6,0.8655,20160208,None
BSL7D62,0.8403,20160208,None
BW0DL87,0.8557,20160208,None
BD6L0F2,9.2504,20160208,None
BD6L0G3,9.3337,20160208,None
BNGWXX4,1.0112,20160205,None
BNGWXW3,1.1872,20160205,None
BNGWXZ6,1.0358,20160205,None
BNGWXY5,1.2163,20160205,None
BNGWY19,1.0233,20160205,None
BNGWY08,1.2018,20160205,None
BN31T70,103.12,20160208,None
BN31T81,87.27,20160208,None
BN31T92,105.63,20160208,None
BN31TB4,89.4,20160208,None
BN31TC5,104.37,20160208,None
BN31TD6,88.33,20160208,None
BN31TF8,105.14,20160208,None
BN31TG9,88.96,20160208,None
BN31TH0,108.12,20160208,None
BN31TJ2,91.5,20160208,None
BN31TK3,106.41,20160208,None
BN31TL4,90.04,20160208,None
BSTLNK0,0.9648,20160208,None
BSTLNL1,0.9323,20160208,None
BYZ4J52,9.5653,20160208,None
